Name;Kategorie;Dichte;Bezugseinheit;Energie, Kilojoule;Energie, Kalorien;Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);All-trans Retinol-Äquivalente (µg-RE);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Niacin (mg);Folat (µg);Pantothensäure (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg)
Kokosnuss, getrocknet (Kokosrapseln, Kokosflocken), ;Nüsse, Samen und Ölfrüchte;;pro 100g ;2750;667;63,3;54,8;3,8;1;0;6,4;6,4;0;20;8,1;0,1;0;2,2;0;0;0;0;0;0,05;0,08;0,2;0;0,75;9;0,65;1;0;1,26;600;33;200;25;90;180;3,5;3;1,5;-
Kondensmilch, gezuckert, ;Milch und Milchprodukte/Milch;1,1;pro 100g ;1430;339;10;6;2,4;0,5;36;54,3;54,3;0;0;8;0,3;0;25,6;96;92;88;49;49;0,09;0,43;0,07;0,58;0,22;7;0,8;2,5;0,2;0,2;360;120;250;280;24;250;0,2;18;0,9;-
Kondensmilch, ungezuckert, ;Milch und Milchprodukte/Milch;1,1;pro 100g ;547;131;7,6;4,6;1,8;0,4;20;9,3;9,3;0;0;6,4;0,2;0;74,8;54;51;48;34;34;0,07;0,37;0,06;0,4;0,2;6;0,64;2,1;0,1;0,17;320;98;210;240;27;190;0,1;6,7;0,8;3
Konfitüre, Marmelade;Süssigkeiten/Konfitüren und süsse Brotaufstriche;1,4;pro 100g ;1040;246;0,5;0;0;0;0;58,7;58,7;0;2,2;0,5;0;0;36;9;5;0;56;56;0,02;0,02;0;0;0,9;0;0,03;4;0;0;100;12;2;18;2;7;1,4;1;0,2;-
Konfitüre, energievermindert, mit Süssstoffen, Marmelade;Süssigkeiten/Konfitüren und süsse Brotaufstriche;1,4;pro 100g ;576;136;0,5;0;0;0;0;31,9;31,9;0;0,8;0,5;0,1;0;65,3;4;2;0;26;-;0;0;0;0;0;0;0,05;26;0;0;120;20;3;19;1;15;0,4;2;0;-
Kopfsalat, roh, ;Gemüse/Gemüse frisch;;pro 100g ;60;14;0,2;0;0;0,1;0;1,1;1;0;1,6;1,3;0;0;95;188;94;0;1129;1129;0,05;0,08;0,04;0;0,4;37;0,12;6,8;0;0,6;140;2,3;57;31;7,6;17;0,4;3,3;0,2;-
Kotelett (Durchschnitt aus Kalb, Schwein, Lamm), gebraten (ohne Zusatz von Fett und Salz), ;Fleisch und Innereien;;pro 100g ;1040;250;14,4;5,5;6,4;1,4;81;0;0;-;0;30;0,1;0;55,6;5;4;4;1;1;0,72;0,21;0,64;0,98;-;2,9;1;0;1,3;0,4;390;54;94;7;26;230;0,6;1,4;2,1;21
Kotelett (Durchschnitt aus Kalb, Schwein, Lamm), roh, ;Fleisch und Innereien/Schwein,Fleisch und Innereien/Kalb,Fleisch und Innereien/Lamm, Schaf;;pro 100g ;740;177;10,2;3,9;4,5;1;57;0;0;-;0;21,3;0,1;0;68,5;3;3;3;1;1;0,73;0,16;0,68;0,9;-;2,7;0,86;0;1,1;0,34;350;45;67;5,1;21;190;0,5;1;1,6;-
Krustentiere (Durchschnitt), roh, ;Fisch/Meeresfrüchte, Krusten- und Schalentiere;;pro 100g ;316;75;1;0,1;0,2;0,3;123;1;0;0,4;0;15,5;0,7;0;82,6;1;1;1;0;0;0,14;0,05;0,15;0,45;3,84;15,5;0,75;2;0;1,16;210;270;0;30;34;190;1,2;170;2,7;-
Kuchenteig (mit Butter), ungebacken, Wähenteig;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;;pro 100g ;1570;375;21,2;12,4;4,9;1,3;55;38,5;0,3;37,8;1,8;6,7;0,8;0;32,5;213;205;197;93;92;0,12;0,03;0,09;0;0,44;8,8;0,26;0;0,3;0,59;100;330;510;11;19;72;0,8;0,7;0,7;-
Kuchenteig (mit pflanzlichem Fett), ungebacken, Wähenteig;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;;pro 100g ;1540;370;20,6;5,7;9,4;3,9;0;38,4;0,2;37,9;1,8;6,7;0,9;0;33,1;214;206;199;90;90;0,12;0,03;0,09;0,02;0,49;9,3;0,29;0;1,2;5,13;110;340;540;10;19;72;0,9;1;0,6;-
Kuchenteig, Vollkorn (mit Butter), ungebacken, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;;pro 100g ;1550;372;21,5;12,4;4,9;1,8;55;33,8;0,7;33,1;6,1;7,6;0,8;0;31,5;213;205;197;96;95;0,26;0,1;0,25;0;2,76;27,6;0,66;0;0,3;1,32;220;340;510;20;72;200;2,8;1,5;1,9;-
Kuchenteig, Vollkorn (mit pflanzichem Fett), ungebacken, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;;pro 100g ;1530;366;21;5,7;9,4;4,3;0;33,8;0,6;33,2;6,1;7,6;0,9;0;32,1;214;207;199;92;92;0,26;0,1;0,25;0,02;2,81;28,1;0,68;0;1,2;5,86;230;350;530;18;72;200;2,8;1,9;1,9;-
Kürbis, gedämpft (ohne Zugabe von Salz), ;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;98;23;0,1;0,1;0;0;0;4,5;3,9;0,6;1;0,6;0;0;93,8;368;184;0;2205;1934;0,01;0,06;0,08;0;0,4;15;0,41;3,8;0;0,1;230;0,9;24;17;6,3;19;0,3;0,1;0,8;-
Kürbiskerne, ;Nüsse, Samen und Ölfrüchte;;pro 100g ;2550;615;49,1;8,7;16,2;21;0;4,7;1,4;1,5;6;35,6;0;0;5,6;38;19;0;228;228;0,21;0,32;0,22;0;1,7;58;0,34;2;0;56,44;950;9,9;80;78;530;1100;9,1;12;8,2;-
Kürbiskernöl, ;Fette und Öle/Öle;0,9;pro 100g ;3700;900;100;16,4;28,5;49,5;0;0;0;0;0;0;0;0;0;777;389;0;4664;4664;0;0;0;0;0;0;0;0;0;13,42;0;0;0;0;0;0;0;0;0;-
Kürbis-Piccata, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;686;165;12;4,7;4,9;1,1;92;9;3,9;5,1;1,1;4,7;0,7;0;73,2;413;252;91;1932;1527;0,03;0,13;0,09;0,32;0,39;17,5;0,69;2,6;0,6;0,48;240;260;410;82;10;94;0,6;8,2;1,2;-
Kürbis, roh, Riesenkürbis;Gemüse/Gemüse frisch;;pro 100g ;98;23;0,1;0,1;0;0;0;4,5;3,9;0,6;1;0,6;0;0;93,3;368;184;0;2205;2149;0,01;0,07;0,1;0;0,5;25;0,48;5;0;0,1;270;1;25;18;7;20;0,4;0,2;0,9;-
Kürbisscheiben, paniert, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;590;141;5,9;0,8;3,7;0,9;62;16,9;4,3;12,5;1,7;4,3;0,6;0;71,5;379;199;20;2154;1700;0,05;0,1;0,1;0,18;0,5;19,7;0,67;2,9;0,4;0,45;260;250;410;29;11;61;0,7;4,9;1,1;-
Lachs, geräuchert, ;Fisch/Meeresfische;;pro 100g ;698;167;8,2;1,8;2,7;2,7;50;0;0;0;0;23,2;4,1;0;62,5;7;7;7;0;0;0,25;0,16;0,64;4,3;8,7;3;0,71;0;6,3;1,8;410;1660;-;10;27;310;0;56;0,4;-
