Name;Kategorie;Dichte;Bezugseinheit;Energie, Kilojoule;Energie, Kalorien;Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);All-trans Retinol-Äquivalente (µg-RE);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Niacin (mg);Folat (µg);Pantothensäure (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg)
Agar Agar, ;Verschiedenes/Gelier- und Bindemittel;;pro 100g ;641;160;0,2;-;-;-;-;0;-;-;74,1;2,4;0,3;-;20,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;130;-;660;100;34;4,5;-;1,5;-
Agavensirup, Agavendicksaft;Süssigkeiten/Zucker und Süssstoffe;;pro 100g ;1240;293;0;-;-;-;-;73,1;-;-;0;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Älplermagronen, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;766;183;9;5,3;2,1;0,5;26;18,6;1,4;17,1;1,7;6;1,1;0;64,8;88;85;82;33;31;0,04;0,09;0,09;0,22;0,7;9,1;0,25;3,1;0,2;0,2;160;440;690;120;20;120;0,4;6,6;0,8;-
Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz), ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;;pro 100g ;531;126;2,4;0,5;0,6;0,9;0;19,1;0,6;18,5;3,7;5,3;0;0;69,6;0;0;0;0;0;0,02;0,06;0,11;0;0,34;16,2;0,27;1;0;0,4;150;1,9;36;58;84;180;3;0,8;1,2;-
Amaranth, Samen, roh, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;;pro 100g ;1580;376;7;1,5;1,7;2,8;0;56,8;1,7;55,1;11;15,8;0;0;11,1;0;0;0;0;0;0,08;0,19;0,53;0;1,2;64,3;0,95;4,2;0;1,19;480;4;110;160;250;560;9;2,5;3,7;-
Amaretti (Mandelgebäck), ;Süssigkeiten/Guetzli;;pro 100g ;1920;456;12,4;0,9;7,9;3,3;0;75,7;75,7;1;3,2;8,7;0,1;0;1;0;0;0;0;0;0,05;0,19;0,04;0,02;0,54;13,3;0,15;0;0;7,37;220;36;49;69;62;130;1,3;2;1,5;-
Ananas, gezuckert (Konserve), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;366;86;0,2;0;0;0,1;0;20,2;20,2;0;1,3;0,4;0;0;77,9;-;-;-;-;-;0,06;0,02;0,07;0;0,24;6,3;0,15;8,1;0;0,09;120;1,8;35;13;14;9,9;0,3;0;0,1;-
Ananas, roh, ;Früchte/Früchte frisch;;pro 100g ;219;52;0,2;0;0;0,1;0;11,3;11,3;0;1,4;0,4;0;0;86,5;9;5;0;56;56;0,07;0,02;0,08;0;0,21;7,6;0,17;51,4;0;0,1;150;2;39;15;15;11;0,3;1,4;0,1;-
Ananas, ungezuckert (Konserve), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;218;51;0,2;0;0;0,1;0;11,3;11,3;0;1,4;0,4;0;0;86,5;9;5;0;56;56;0,06;0,03;0,08;0;0,27;7;0,17;9;0;0,1;130;2;39;14;15;11;0,3;0;0,1;-
Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;305;72;0,4;0,1;0;0,1;0;15,4;15,3;0,1;2,8;0,4;0;0;81,1;6;3;0;34;20;0,02;0,01;0,05;0;0,1;12;0,11;6,4;0;0,66;140;5,3;2,9;6,3;5,3;12;0,3;1,1;0,1;-
Apfel, geschält, getrocknet, Dörrapfel;Früchte/Früchte getrocknet;;pro 100g ;1250;295;2;0,5;0,1;1;0;63,2;60;0,1;9,2;1,5;0;0;20;0;0;0;0;0;0,09;0,06;0,15;0;0,31;20;0,01;12,2;0;1,84;520;15;10;15;31;56;2;10;0,6;-
Apfelkuchen, gebacken (mit Blätterteig), Apfelwähe;Süssigkeiten/Kuchen, Torten und Cake,Gerichte/Kuchen und Gratins;;pro 100g ;592;141;7;3,9;1,7;0,5;39;16,5;9,5;6,9;1,7;2,3;0,2;0;72,6;74;71;67;46;37;0,03;0,04;0,05;0,08;0,14;7,8;0,2;3,8;0,2;0,51;110;94;140;19;7,5;38;0,4;3,1;0,3;-
Apfelkuchen, gebacken (mit Kuchenteig), Apfelwähe;Süssigkeiten/Kuchen, Torten und Cake,Gerichte/Kuchen und Gratins;;pro 100g ;604;144;6,1;3,4;1,5;0,5;37;18,7;9,5;9,1;1,8;2,7;0,2;0;70,8;65;62;58;42;34;0,04;0,04;0,05;0,08;0,16;8,1;0,22;3,8;0,2;0,5;120;91;140;19;8,5;41;0,4;3,1;0,3;-
Apfelmus, gezuckert (Konserve), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;379;89;0,3;0,1;0;0,1;0;20,5;20,4;0,1;1,9;0,3;0;0;76,5;-;-;-;-;-;0,02;0,02;0,04;0;0,08;5,9;0,08;2,3;0;0,34;97;3,6;2,1;4,4;3,6;8,1;0,2;0,7;0,1;-
Apfelmus, ungezuckert (Konserve), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;232;55;0,3;0,1;0;0,1;0;11,7;11,6;0,1;2,1;0,3;0;0;85;-;-;-;-;-;0,02;0,02;0,05;0;0,09;6,5;0,09;2,5;0;0,43;110;4;2,2;4,8;4;9;0,2;0,8;0,1;-
Apfel, roh, ;Früchte/Früchte frisch;;pro 100g ;232;55;0,3;0,1;0;0,1;0;11,7;11,6;0,1;2,1;0,3;0;0;85;4;2;0;26;20;0,02;0,01;0,04;0;0,09;13;0,09;7;0;0,5;120;4;2,2;5;4;9;0,2;0,8;0,1;-
Apfelsaft, Süssmost;Früchte/Fruchtsäfte,Alkoholfreie Getränke/Frucht- und Gemüsesäfte;1;pro 100 ml;190;45;0,1;0;0;0,1;0;10,8;10,3;0;0;0,1;0;0;87,7;0;0;0;0;0;0,02;0,02;0,04;0;0,16;1;0,07;7,4;0;0,51;120;2,3;2;6,7;5,5;8;0,2;2;0,1;-
Apfelwein, 4 vol%, Apfelmost,Saurer Most,Cider;Alkoholhaltige Getränke/Wein;1;pro 100 ml;132;32;0;0;0;0;0;2,5;2,5;0;0;0;0;3,1;93,2;0;0;0;1;1;0;0;0,01;0;0;0;0,04;0;0;0;120;4;5;9;4;5;0,8;10;0,2;-
Apfelwein, 6.2 vol%, Apfelmost,Saurer Most,Cider;Alkoholhaltige Getränke/Wein;1;pro 100 ml;269;64;0;0;0;0;0;7,3;7,3;0;0;0;0;5;86,9;0;0;0;1;1;0;0;0,01;0,1;0,01;1;0,03;0;0;0;97;2;5;5;4;9;0,3;10;0,2;-
Appenzeller, viertelfett, ;Milch und Milchprodukte/Hartkäse;;pro 100g ;985;235;11,4;6,8;2,7;0,5;34;0;0;0;0;33,1;2;0;48,2;142;136;130;70;-;0,04;0,5;0,07;1,3;0,1;15;0,54;0;0,3;0,36;120;810;1240;1090;36;730;0,2;35;2,5;-
Appenzeller, vollfett, ;Milch und Milchprodukte/Hartkäse;;pro 100g ;1590;384;31,7;19;7,4;1,5;95;0;0;0;0;24,3;1,6;0;39,6;382;366;350;190;190;0,04;0,36;0,07;1,06;0,1;15;0,33;0;0,5;0,95;82;620;960;740;29;540;0,3;8,4;4;-
Aprikose, gedünstet, abgetropft (ohne Zugabe von Zucker), Marille;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;255;60;0,1;0;0;0;0;12,5;12,5;0;2,6;1;0;0;83,8;378;189;0;2266;1743;0,03;0,04;0,07;0;0,54;6,1;0,26;4,9;0;0,88;350;2,5;1,3;19;13;25;0,5;0,6;0,2;-
Aprikose, getrocknet, Dörraprikose,Marille;Früchte/Früchte getrocknet;;pro 100g ;1160;275;0,5;0;0,3;0,1;0;47,9;43,3;0;17,7;5;0;0;17,6;917;458;0;5500;5500;0,01;0,16;0,26;0;3,2;13;0,7;8;0;4,5;1370;11;5,4;82;50;110;5,2;2,7;0,4;-
Aprikose, gezuckert (Konserve), Marille;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;354;83;0,1;0;0;0;0;19;19;0;1,9;0,7;0;0;78;149;75;0;895;713;0,03;0,04;0,06;0;0,49;3,2;0,23;3,2;0;0,47;260;1,8;1,1;14;9;18;0,4;0,5;0,1;-
Aprikosenkuchen, gebacken (mit Blätterteig), Aprikosenwähe,Marille;Süssigkeiten/Kuchen, Torten und Cake,Gerichte/Kuchen und Gratins;;pro 100g ;573;137;6,8;3,8;1,6;0,4;39;15,4;8,5;6,9;1,7;2,6;0,2;0;73,5;272;169;67;1231;1135;0,03;0,06;0,06;0,08;0,37;5,4;0,29;3,1;0,2;0,64;230;93;140;26;12;45;0,5;2,9;0,3;-
Aprikosenkuchen, gebacken (mit Kuchenteig), Aprikosenwähe,Marille;Süssigkeiten/Kuchen, Torten und Cake,Gerichte/Kuchen und Gratins;;pro 100g ;586;140;6;3,3;1,4;0,4;37;17,6;8,5;9;1,8;3;0,2;0;71,8;263;160;58;1227;1132;0,04;0,06;0,07;0,08;0,4;5,7;0,3;3,1;0,2;0,63;230;90;140;26;12;49;0,6;2,9;0,4;-
Aprikose, roh, Marille;Früchte/Früchte frisch;;pro 100g ;204;48;0,1;0;0;0;0;10;10;0;2,1;0,8;0;0;86,7;302;151;0;1813;1859;0,03;0,04;0,06;0;0,48;7;0,23;5,7;0;0,7;320;2;1;16;10;20;0,4;0,5;0,1;-
Aprikose, ungezuckert (Konserve), Marille;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;204;48;0,1;0;0;0;0;10;10;0;2,1;0,8;0;0;86,7;149;75;0;895;713;0,03;0,05;0,06;0;0,54;3,5;0,26;3,5;0;0,53;280;2;1;15;10;20;0,4;0,5;0,1;-
Aubergine, gedünstet (ohne Zugabe von Fett und Salz), Eierfrucht;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;120;29;0,3;0;0;0,1;0;3,9;3,5;0,4;3;1,3;0;0;91,6;10;5;0;63;56;0,04;0,04;0,09;0;0,71;11,9;0,29;2;0;0,04;330;3,8;69;13;16;26;0,4;0,2;0,2;-
Auberginen-Piccata, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;699;168;11,8;4,6;4,8;1,1;90;9,1;2,9;6,2;2,3;5,2;0,6;0;71,6;100;95;89;70;58;0,05;0,09;0,07;0,31;0,46;15,1;0,53;0,9;0,5;0,41;230;260;430;73;15;94;0,5;8;0,6;-
Auberginenscheiben, paniert, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;583;139;5,9;0,7;3,6;1;61;15,4;3,2;12,1;3;4,6;0,6;0;71,3;28;24;20;50;40;0,06;0,06;0,08;0,17;0,57;17,1;0,49;1,1;0,4;0,38;250;250;440;22;16;62;0,6;4,9;0,4;-
Aubergine, roh, Eierfrucht;Gemüse/Gemüse frisch;;pro 100g ;96;23;0,2;0;0;0,1;0;3,1;2,8;0,3;2,4;1;0;0;92,7;8;4;0;50;50;0,04;0,03;0,08;0;0,6;19;0,25;1,9;0;0,03;260;3;55;10;13;21;0,3;0,2;0,1;-
Aufschnitt (Durchschnitt), ;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;1200;291;25,7;9,7;12;2,4;59;0,7;0,7;0;0;14,2;2;0;59,4;3;3;3;4;4;0,27;0,13;0,15;0,95;2,85;2,3;0,42;26,8;0,5;0,21;120;790;1110;8,1;12;160;0,8;1,2;1,5;-
Avocado, roh, ;Gemüse/Gemüse frisch,Nüsse, Samen und Ölfrüchte;;pro 100g ;594;144;14,2;2,9;8,9;1,8;0;0,8;0,8;0;3;1,8;0;0;76,4;17;8;0;100;67;0,07;0,16;0,23;0;2;39,9;0,86;7,5;0;1,85;520;7;6;16;33;44;1;1;0,6;-
Bäckerhefe, gepresst, Bierhefe;Verschiedenes/Hefe,Verschiedenes/Backzutaten;;pro 100g ;402;96;1,2;0,2;0,4;0,6;0;1,1;0;1;6,9;16,7;0,1;0;72;0;0;0;0;0;0,83;1,39;0,63;0;9,75;642;2,29;0;0;0,1;570;22;100;16;41;370;2,9;0,6;2,4;-
Bami Goreng, zubereitet, ;Gerichte/Asiatische Gerichte;;pro 100g ;580;137;2,6;0,5;1,4;0,5;44;13,9;1,5;12,1;0,9;14;1;0;68,4;69;41;14;328;283;0,09;0,09;0,15;0,06;3,61;4,3;0,31;12,5;0,3;0,5;180;410;560;9,3;17;120;0,7;1,6;0,7;19
Banane, gedörrt, Bananenchips;Früchte/Früchte getrocknet;;pro 100g ;1570;370;1,8;0,7;0,2;0,3;0;80,7;65,3;15,4;7,6;3,9;0;0;3;61;30;0;363;350;0,18;0,24;0;0;2,8;0;0;7;0;0;1490;3;0;22;110;74;1,2;0;0;-
Banane, getrocknet, ;Früchte/Früchte getrocknet;;pro 100g ;1160;273;1;0,4;0,1;0,2;0;60,2;43,7;16,5;5,5;3;0;0;28;17;8;0;100;100;0,1;0,18;0,81;0;2;33,3;0,54;4;0;0,6;1150;8;300;20;90;75;1,3;8,1;0,6;-
Banane, roh, ;Früchte/Früchte frisch;;pro 100g ;403;95;0,3;0,1;0;0,1;0;21;17,2;3,8;2;1,1;0;0;74;18;9;0;109;77;0,05;0,05;0,37;0;0,62;23;0,26;12;0;0,29;390;1;110;8;30;22;0,4;2;0,2;-
Basilikum, roh, ;Gemüse/Kräuter;;pro 100g ;194;46;0,8;0,1;0;0,4;0;5,1;5;0,1;3,1;3,1;0;0;86,4;811;405;0;4865;4820;0,08;0,31;0,18;0;1,1;50;0,2;26;0;1;300;9;35;250;11;37;5,5;0,9;0,7;-
Basler Leckerli, ;Süssigkeiten/Guetzli;;pro 100g ;1720;407;7,5;0,7;4,6;2,1;0;74,5;51,7;23,1;3,2;7,5;0;0,8;7,5;0;0;0;1;1;0,07;0,08;0,12;0;0,59;10,1;0,18;0,9;0;4,3;180;2,8;28;51;40;98;1,2;0,7;1,1;-
Bauernbratwurst, gebraten (ohne Zusatz von Fett un Salz), ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;1220;293;23,3;8,6;10,9;2,6;72;0,3;0,3;0;0;20,4;4,1;0,1;56;4;4;4;0;0;0,62;0,21;0,37;1,65;4,04;2,6;0,53;0;0;0,5;320;1660;2740;3,5;24;220;1;1,6;1,9;-
Bauernbratwurst, roh, Schweinsbratwurst;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;1010;243;19,3;7,1;9,1;2,1;60;0,2;0,2;0;0;16,9;3,8;0,1;63,5;3;3;3;0;0;0,68;0,18;0,41;1,52;3,94;2,5;0,51;0;0;0,46;310;1530;2270;2,9;20;190;0,8;1,3;1,5;-
Bauernbrot, Burebrot;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1020;241;2;0,7;0,4;0,6;4;44,3;2,4;41,7;4,4;9,2;1,8;0;40,7;11;10;10;5;5;0,2;0,13;0,11;0,03;1,09;25;0,4;0,2;0;0,33;200;710;1090;46;38;170;1,5;3,7;1,4;-
Bauernsalami, Salami nach Bauernart;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;2200;532;49,5;18,7;23,2;5,2;84;0,8;0,8;-;0;20,6;3,9;0,1;28,9;7;7;7;4;4;0,55;0,24;0,33;3,03;5,84;2,8;0,55;70,5;0;0,77;340;1580;2330;5,1;22;170;1,4;0,9;2,7;-
Bauernschüblig, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;2170;524;48,5;18,8;23;4,4;86;0,3;0,3;0;0;21,3;4;0,1;29,7;8;8;7;6;6;0,53;0,24;0,33;3,29;5,96;2,6;0,56;71;0;0,69;350;1590;2350;4,8;23;270;1,5;1,1;2,9;-
Baumnuss, Walnuss;Nüsse, Samen und Ölfrüchte;;pro 100g ;3080;747;70,8;6,3;11,9;49,4;0;7;2;1,5;6,7;17;0;0;4,1;0;0;0;0;0;0,43;0,14;0,41;0,1;1,3;137;1,74;2,1;0;3,72;420;0,3;23;78;140;360;3;2;4;-
Baumnussbrot, ;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1420;339;18,5;3,9;3,4;10;26;30,8;1,8;28,2;5,8;9,4;1,2;0;36,3;49;47;45;21;17;0,23;0,12;0,22;0;1,59;48;0,73;0,4;0,2;1,21;240;490;750;32;67;210;2,2;2,9;2,1;-
Baumnussöl, ;Fette und Öle/Öle;0,9;pro 100g ;3700;900;100;10;16,8;69,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,55;0;0;0;0;0;0;0;0;0;-
Béchamelsauce hausgemacht, ;Verschiedenes/Saucen;;pro 100g ;613;147;9,9;6;2,3;0,5;31;10,2;4,8;5,4;0,2;4,2;0,7;0;75,4;107;103;99;44;45;0,03;0,22;0,03;0,15;0,16;2,8;0,32;0,7;0,2;0,27;170;300;490;120;12;100;0,1;9,9;0,4;-
Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;186;44;0,5;0;0,1;0,3;0;7,6;7,6;0;3;0,8;0;0;88,1;2;1;0;11;6;0,01;0,03;0,04;0;0,35;21,3;0,18;34,7;0;0,38;150;2,2;15;20;13;24;0,5;1,2;0,1;-
Beeren (Durchschnitt), roh, ;Früchte/Früchte frisch;;pro 100g ;177;42;0,5;0;0,1;0,2;0;7,2;7,2;0;2,8;0,8;0;0;88,7;2;1;0;11;8;0,02;0,03;0,05;0;0,37;29;0,19;47;0;0,36;160;2,1;14;20;12;23;0,5;1,2;0,1;-
Berliner, Pfannkuchen;Süssigkeiten/Sonstige süsse Backwaren;;pro 100g ;1370;325;12,8;6,8;4;0,9;104;43,1;5,2;37,8;2,2;8,4;0,6;0;32,2;130;126;122;50;50;0,05;0,1;0,1;0;0,48;14;0,38;0,2;1;0,78;110;250;400;38;16;100;1,3;4,1;0,9;-
Berner Alpkäse, ;Milch und Milchprodukte/Hartkäse;;pro 100g ;1880;453;38,3;-;-;-;-;0;-;0;0;27,1;1,6;0;26,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;660;-;920;-;-;-;-;-;-
Berner Hobelkäse, ;Milch und Milchprodukte/Hartkäse;;pro 100g ;2030;491;41,2;-;-;-;-;0;-;0;0;30;1,7;0;21,9;-;-;-;-;-;-;0,56;-;0,83;-;-;0,43;-;0,8;-;-;690;-;-;-;-;-;-;-;-
Berner Zungenwurst, ;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;1380;333;29,4;10,8;13,7;3;63;0;0;0;0;17,3;1,5;0;53,3;7;7;6;3;3;0,53;0,2;0,31;2,61;4,95;2,3;0,54;0;0;0,52;220;610;880;3,4;20;100;1,3;0,7;2,4;-
Biber, ;Süssigkeiten/Sonstige süsse Backwaren;;pro 100g ;1980;472;19,7;1,6;12,4;5,3;0;56,4;44,9;12,9;5,9;11,9;0;1,4;6,5;0;0;0;1;1;0,1;0,18;0,09;0;0,96;19,9;0,23;0,1;0;11,63;330;1,7;28;110;97;210;2,3;1;2,5;-
Bier, alkoholfrei, ;Alkoholhaltige Getränke/Bier;1;pro 100 ml;99;23;0;0;0;0;0;4,9;2,6;0;0;0,4;0;0,3;93,3;0;0;0;0;0;0,01;0,01;0,04;0,02;0,65;5;0,08;0;0;0;34;1,5;19;4,8;6,2;11;0;1;8;-
Bierhefe, getrocknet, Bäckerhefe,Trockenhefe,Hefepulver;Speziallebensmittel/Supplemente,Verschiedenes/Hefe;;pro 100g ;1500;354;4,2;0,6;1,3;2,1;0;26,5;3,2;23,3;9,5;47,9;0,2;0;6;0;0;0;0;0;12;3,8;4,4;-;45;3200;7,2;0;0;0,1;1410;77;400;50;230;1900;18;4;8;-
Bier, Lager, ;Alkoholhaltige Getränke/Bier;1;pro 100 ml;176;42;0;0;0;0;0;3,1;2,2;0;0;0,5;0;4;91,9;0;0;0;0;0;0;0,03;0,06;0,02;0,77;6,3;0,03;0;0;0;55;1,9;17;3,5;9,6;19;0;1,5;0;-
Bier Panache (Durchschnitt), ;Alkoholhaltige Getränke/Bier;1;pro 100 ml;166;39;0;0;0;0;0;7,4;7,1;0;0;0,2;0;1,3;91,1;0;0;0;0;0;0;0,02;0,02;0,01;0,27;2,1;0,01;0;0;0;24;2,6;13;4,5;11;7;0,1;1,7;0;-
Bierwurst, ;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;1450;350;31,3;11,6;14,6;3,2;63;0;0;0;0;16,8;1,4;0,1;51,8;7;6;6;3;2;0,23;0,16;0,13;1,52;2,65;1,6;0,29;0;0;0,43;120;570;870;2,9;13;79;1,2;0,7;2,1;-
Birchermüesli, zubereitet (ungezuckert), ;Gerichte/Müesli und Brei;;pro 100g ;366;87;3,1;1,2;1;0,7;5;11,2;8,3;2,8;1,9;2,7;0,1;0;81,2;18;16;15;22;19;0,05;0,09;0,05;0,09;0,2;13,2;0,23;4,5;0;0,77;160;20;47;58;18;75;0,4;5,8;0,5;-
Birne, gedünstet, abgetropft (ohne Zugabe von Zucker), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;316;75;0,4;0,1;0,1;0,1;0;15,8;15,8;0;3;0,5;0;0;80,3;1;0;0;6;4;0,02;0,02;0,03;0;0,22;9,1;0,12;4,2;0;0,65;150;2,6;2,6;12;9,1;17;0,3;1;0,2;-
Birne, getrocknet, Dörrbirne,Trockenbirne;Früchte/Früchte getrocknet;;pro 100g ;1220;289;1,4;0,1;0,5;0,6;0;59,7;49,3;0;13,5;2,4;0;0;20;0;0;0;2;2;0,09;0,09;0,04;0;0,58;39;0,18;14,5;0;1,45;420;10;10;43;34;72;1,3;5;1,1;-
Birne, gezuckert (Konserve), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;389;92;0,3;0;0;0,1;0;21;21;0;2,1;0,4;0;0;76,2;-;-;-;-;-;0,02;0,02;0,02;0;0,16;4,5;0,08;2,3;0;0,34;100;1,8;2;8,6;6,3;12;0,2;0,7;0,1;-
Birnenkuchen, gebacken (mit Blätterteig), Birnenwähe;Süssigkeiten/Kuchen, Torten und Cake,Gerichte/Kuchen und Gratins;;pro 100g ;600;143;7;3,9;1,7;0,5;39;16,9;9,9;6,9;1,8;2,4;0,2;0;72,1;72;69;67;31;28;0,03;0,05;0,04;0,08;0,2;6,6;0,21;2,5;0,2;0,51;110;93;140;22;9,5;41;0,4;3,1;0,3;-
Birnenkuchen, gebacken (mit Kuchenteig), Birnenwähe;Süssigkeiten/Kuchen, Torten und Cake,Gerichte/Kuchen und Gratins;;pro 100g ;612;146;6,1;3,3;1,5;0,5;37;19;9,9;9;1,9;2,7;0,2;0;70,3;63;61;58;27;24;0,03;0,05;0,04;0,08;0,22;6,9;0,22;2,5;0,2;0,5;120;90;140;22;10;44;0,4;3,1;0,3;-
Birnensaft, ;Früchte/Fruchtsäfte,Alkoholfreie Getränke/Frucht- und Gemüsesäfte;1;pro 100 ml;214;51;0,5;0,2;0;0,2;0;11;11;0;0;0.5;0;0;85,7;0;0;0;0;0;0,03;0,03;0,01;0;0,17;9;0,05;3;0;0,44;110;2;2;9;7;16;0,3;1;0,2;-
Birnenweggen, ;Süssigkeiten/Sonstige süsse Backwaren;;pro 100g ;1510;360;10,3;5,8;2,4;0,9;25;56,2;33,4;19,5;7,6;5;0,7;1;20,2;108;99;90;107;88;0,09;0,07;0,1;0;0,66;15,8;0,25;3,6;0,2;1,01;340;290;450;60;32;82;2;2,5;0,8;-
Birne, roh, ;Früchte/Früchte frisch;;pro 100g ;244;58;0,3;0;0,1;0,1;0;12,2;12,2;0;2,3;0,4;0;0;84,7;1;0;0;5;4;0,01;0,02;0,03;0;0,18;10;0,1;4,6;0;0,5;130;2;2;10;7;13;0,2;0,8;0,1;-
Birne, ungezuckert (Konserve), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;244;58;0,3;0;0,1;0,1;0;12,2;12,2;0;2,3;0,4;0;0;84,7;2;1;0;10;-;0,02;0,03;0,02;0;0,18;5;0,09;2,5;0;0,38;110;2;2;9,5;7;13;0,2;0,8;0,1;-
Blanc battu mit Früchten, mit Süsstoffen, ;Milch und Milchprodukte/Frischkäse und Quark;;pro 100g ;287;68;0,2;0,1;0;0;0;8,4;5,3;2,6;0,3;8;0,1;0;83;5;4;2;17;13;0,03;0,34;0,04;0,39;0,28;15,5;0,37;1,6;0;0,16;180;48;110;130;13;140;0,1;19;0,5;-
Blanc battu, nature, mager, ;Milch und Milchprodukte/Frischkäse und Quark;;pro 100g ;200;47;0;0;0;0;1;3,9;3,9;0;0;7,8;0,1;0;86,5;5;4;4;3;3;0,04;0,32;0,06;0,36;0,2;24;0,35;0;0,1;0;140;44;89;130;12;120;0,2;10;0,5;-
Blätterteig hausgemacht (Butter), ungebacken, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;;pro 100g ;1510;364;24,7;14,6;5,8;1,4;65;29,4;0,3;28,8;1,3;5,2;0,8;0;39,8;252;243;234;110;109;0,09;0,02;0,07;0;0,33;6,7;0,2;0;0,4;0,64;82;340;530;11;15;57;0,6;0,7;0,5;-
Blätterteig hausgemacht (mit pflanzlichem Fett), ungebacken, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;;pro 100g ;1490;358;24,1;6,7;11,1;4,4;0;29,4;0,1;28,9;1,3;5,2;0,9;0;40,5;253;244;235;106;106;0,09;0,02;0,07;0,03;0,39;7,3;0,23;0;1,5;6;88;360;550;9,6;15;58;0,7;1,1;0,5;-
Blätterteigstängel, Flûtes;Salzige Snacks/Blätterteiggebäcke;;pro 100g ;2060;496;33,5;14,7;11,6;4;45;40,4;0,3;39,7;1,8;7,1;2,6;0;17,7;347;335;322;148;133;0,09;0,03;0,09;0,02;0,48;4,8;0,22;0;1,3;4,56;120;1030;1570;14;21;79;0,9;1,5;0,7;-
Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz), ;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;96;23;0,3;0;0;0,1;0;2,4;2,2;0,2;2,4;1,6;0;0;93,4;91;46;0;547;487;0,04;0,06;0,11;0;0,3;36;0,19;18,1;0;1,02;210;18;38;48;16;34;0,5;2,4;0,2;-
Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett), ;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;101;24;0,3;0,1;0;0,1;0;2,5;2,3;0,2;2,6;1,7;0,1;0;93;96;48;0;576;513;0,05;0,06;0,12;0;0,37;44,3;0,21;20,8;0;1,08;260;22;42;53;19;38;0,7;2,7;0,3;-
